repository_stream,discovery_scope,record_identifier,associated_article,title,screening_decision_original,screening_decision,primary_panels,sensitivity_panels,decision_reason
Elsevier metadata-selected article batch,frozen 16-article metadata batch,10.1016/j.wmb.2025.100249,10.1016/j.wmb.2025.100249,,excluded_primary,excluded_primary,0,0,Only two fixed biochar candidates were compared; protocol requires at least three
Elsevier metadata-selected article batch,frozen 16-article metadata batch,10.1016/j.jece.2026.122974,10.1016/j.jece.2026.122974,,excluded_primary,excluded_primary,0,0,Multiple materials were studied but shared-condition adsorption responses were plotted rather than directly tabulated
Elsevier metadata-selected article batch,frozen 16-article metadata batch,10.1016/j.wroa.2026.100527,10.1016/j.wroa.2026.100527,,excluded_primary,excluded_primary,0,0,Review article rather than a new fixed-candidate experiment
Elsevier metadata-selected article batch,frozen 16-article metadata batch,10.1016/j.jclepro.2024.142566,10.1016/j.jclepro.2024.142566,,excluded_primary,excluded_primary,0,0,Twelve biochars were compared at one tabulated experimental endpoint; multi-condition results were fitted kinetic parameters
Elsevier metadata-selected article batch,frozen 16-article metadata batch,10.1016/j.jes.2025.05.026,10.1016/j.jes.2025.05.026,,excluded_primary,excluded_primary,0,0,Orthogonal treatments changed the preparation or remediation design and did not measure a fixed candidate panel over shared adsorption strata
Elsevier metadata-selected article batch,frozen 16-article metadata batch,10.1016/j.jaap.2025.107327,10.1016/j.jaap.2025.107327,,excluded_primary,excluded_primary,0,0,Three fixed adsorbents were reported across temperatures only through fitted isotherm and kinetic endpoints
Elsevier metadata-selected article batch,frozen 16-article metadata batch,10.1016/j.enmm.2025.101040,10.1016/j.enmm.2025.101040,,excluded_primary,excluded_primary,0,0,Shared-condition DNA responses were plotted; tables contained fitted kinetic and isotherm parameters
Elsevier metadata-selected article batch,frozen 16-article metadata batch,10.1016/j.jiec.2024.10.004,10.1016/j.jiec.2024.10.004,,included_locked_primary,included_locked_primary,2,0,Table 2 directly reports equilibrium adsorption for three fixed materials at three shared initial concentrations for each of two pollutants
Elsevier metadata-selected article batch,frozen 16-article metadata batch,10.1016/j.chemosphere.2024.143965,10.1016/j.chemosphere.2024.143965,,excluded_primary,excluded_primary,0,0,Tables report fitted kinetic or isotherm results and the supplement does not provide a complete fixed-candidate response matrix
Elsevier metadata-selected article batch,frozen 16-article metadata batch,10.1016/j.clet.2024.100839,10.1016/j.clet.2024.100839,,excluded_primary,excluded_primary,0,0,Only selected materials had fitted multi-condition phosphate adsorption results
Elsevier metadata-selected article batch,frozen 16-article metadata batch,10.1016/j.pce.2022.103352,10.1016/j.pce.2022.103352,,excluded_primary,excluded_primary,0,0,Tables report thermodynamic and fitted isotherm parameters rather than direct shared-condition responses
Elsevier metadata-selected article batch,frozen 16-article metadata batch,10.1016/j.scitotenv.2019.134223,10.1016/j.scitotenv.2019.134223,,excluded_primary,excluded_primary,0,0,Multiple aged biochars were compared through fitted kinetic and isotherm parameters rather than direct tabulated responses
Elsevier metadata-selected article batch,frozen 16-article metadata batch,10.1016/j.jhazmat.2025.139126,10.1016/j.jhazmat.2025.139126,,excluded_primary,excluded_primary,0,0,Three biochars were available but adsorption tables contained fitted parameters rather than direct shared-condition responses
Elsevier metadata-selected article batch,frozen 16-article metadata batch,10.1016/j.jenvman.2025.126072,10.1016/j.jenvman.2025.126072,,excluded_primary,excluded_primary,0,0,Many fixed materials were studied but direct kinetic and isotherm responses were shown graphically; supplementary tables report fitted parameters
Elsevier metadata-selected article batch,frozen 16-article metadata batch,10.1016/j.jece.2024.113488,10.1016/j.jece.2024.113488,,excluded_primary,excluded_primary,0,0,Three materials were present but the adsorption table contained Langmuir fitting parameters
Elsevier metadata-selected article batch,frozen 16-article metadata batch,10.1016/j.scp.2024.101631,10.1016/j.scp.2024.101631,,excluded_primary,excluded_primary,0,0,Only one selected biochar was evaluated across tabulated adsorption-model conditions
Dryad API,complete Dryad API query q=biochar on 2026-07-16,10.5061/dryad.09rd4,10.1098/rsos.171875,Data from: Effects of biochar on fate and toxicity of herbicide fenoxaprop-ethyl in soil,excluded_primary,excluded_primary,0,0,Soil fate and toxicity study with one biochar amendment; no fixed-material adsorption panel.
Dryad API,complete Dryad API query q=biochar on 2026-07-16,10.5061/dryad.3xsj3txf4,10.1098/rsos.201789,Dataset of a comparative study on phosphate removal from water using phragmites australis biochars loaded with different metal oxides,included_locked_primary,included_locked_primary,1,0,Five predefined metal-loaded biochars had direct triplicate kinetic responses at 12 shared times.
Dryad API,complete Dryad API query q=biochar on 2026-07-16,10.5061/dryad.4f4qrfjk8,10.1016/j.chemosphere.2023.140688,Digital research data from: Evaluation of a pH- and time-dependent model for the sorption of heavy metal cations by poultry litter-derived biochar,excluded_primary,excluded_primary,0,0,Direct pH- and time-dependent responses were measured for one poultry-litter biochar; the protocol requires at least three candidates.
Dryad API,complete Dryad API query q=biochar on 2026-07-16,10.5061/dryad.4j0zpc87r,10.1371/journal.pone.0233027,Data from: Role of ambient pressure in self-heating torrefaction of dairy cattle manure,excluded_primary,excluded_primary,0,0,Torrefaction self-heating study; no adsorption response.
Dryad API,complete Dryad API query q=biochar on 2026-07-16,10.5061/dryad.58m67,10.1371/journal.pone.0154617,"Data from: Emissions and char quality of flame-curtain ""Kon Tiki"" kilns for farmer-scale charcoal/biochar production",excluded_primary,excluded_primary,0,0,Kiln-emission and char-quality study; no adsorption response.
Dryad API,complete Dryad API query q=biochar on 2026-07-16,10.5061/dryad.59zw3r2dg,10.1021/acsestwater.3c00414,PFAS and nitrate leaching from undisturbed soil columns receiving biosolids and mitigation potential of biochar,excluded_primary,excluded_primary,0,0,PFAS soil-column leaching study with one biochar amendment; not a direct fixed-material adsorption panel.
Dryad API,complete Dryad API query q=biochar on 2026-07-16,10.5061/dryad.5s8f922,10.1371/journal.pone.0196794,"Data from: The potential of biochar in improving drainage, aeration and maize yields in heavy clay soils",excluded_primary,excluded_primary,0,0,"Soil drainage, aeration, and crop-yield study; no adsorption candidate panel."
Dryad API,complete Dryad API query q=biochar on 2026-07-16,10.5061/dryad.69p8cz9d0,10.1088/1748-9326/ad99e9,Code and data in support of: Uncertainty in determining carbon dioxide removal potential of biochar,excluded_primary,excluded_primary,0,0,Carbon-removal uncertainty code and data; no adsorption experiment.
Dryad API,complete Dryad API query q=biochar on 2026-07-16,10.5061/dryad.8hm07,10.1371/journal.pone.0176378,"Data from: Biochar from ""Kon Tiki"" flame curtain and other kilns: effects of nutrient enrichment and kiln type on crop yield and soil chemistry",excluded_primary,excluded_primary,0,0,Crop-yield and soil-chemistry study; no adsorption candidate panel.
Dryad API,complete Dryad API query q=biochar on 2026-07-16,10.5061/dryad.9w0vt4bm6,10.1016/j.foreco.2023.120971,"Effects of nurse shrubs and biochar on planted conifer seedling survival and growth in a high-severity burn patch in New Mexico, USA",excluded_primary,excluded_primary,0,0,Postfire seedling-survival study; no adsorption candidate panel.
Dryad API,complete Dryad API query q=biochar on 2026-07-16,10.5061/dryad.bv10m57,10.2134/jeq2019.02.0091,Data from: Phosphorus release from unamended and gypsum-or biochar-amended soils under simulated spring snowmelt and summer flooding conditions,excluded_primary,excluded_primary,0,0,Flooded-soil phosphorus-release study; endpoint is not direct adsorption by a candidate panel.
Dryad API,complete Dryad API query q=biochar on 2026-07-16,10.5061/dryad.crjdfn327,10.1111/1365-2664.13757,Effect of soil carbon amendments in reversing the legacy effect of plant invasion,excluded_primary,excluded_primary,0,0,Plant-invasion legacy and soil-carbon study; no adsorption candidate panel.
Dryad API,complete Dryad API query q=biochar on 2026-07-16,10.5061/dryad.d51c5b09f,10.1371/journal.pwat.0000244,"Evaluation of point-of-use treatments and biochar to reduce 1,2,3-trichloropropane (TCP) contamination in drinking water",excluded_primary,excluded_primary,0,0,TCP treatment study contains one almond-shell biochar and heterogeneous nonbiochar filters; fewer than three biochar candidates.
Dryad API,complete Dryad API query q=biochar on 2026-07-16,10.5061/dryad.fj6q573v2,10.1016/j.cartre.2021.100088,Code in support of: Physical and chemical mechanisms that influence the electrical conductivity of lignin-derived biochar,excluded_primary,excluded_primary,0,0,Electrical-conductivity study; no adsorption response.
Dryad API,complete Dryad API query q=biochar on 2026-07-16,10.5061/dryad.g79cnp5s3,10.1111/gcbb.12978,No evidence that conifer biochar impacts soil functioning by serving as microbial refugia in boreal soils,excluded_primary,excluded_primary,0,0,Soil microbial-refugia study; no adsorption candidate panel.
Dryad API,complete Dryad API query q=biochar on 2026-07-16,10.5061/dryad.h70rxwdsm,10.1016/j.jclepro.2023.138148,Data from: Impacts of organic matter amendments on urban soil carbon and soil quality: A meta-analysis,excluded_primary,excluded_primary,0,0,Meta-analysis of urban-soil amendments; no primary candidate experiment.
Dryad API,complete Dryad API query q=biochar on 2026-07-16,10.5061/dryad.ht76hdrd1,10.1016/j.apt.2021.01.016,STL files and data to support: Improvements in methods for measuring the volume conductivity of electrically conductive carbon powders,excluded_primary,excluded_primary,0,0,Carbon-powder conductivity methods; no adsorption response.
Dryad API,complete Dryad API query q=biochar on 2026-07-16,10.5061/dryad.jh9w0vtgx,,Effects of biochar amendment on daily CO2 emission,excluded_primary,excluded_primary,0,0,Soil CO2-emission experiment; no aqueous adsorption candidate panel.
Dryad API,complete Dryad API query q=biochar on 2026-07-16,10.5061/dryad.kprr4xh6q,10.1016/j.jhazmat.2020.124405,Earthworms increase the potential for enzymatic bio-activation of biochars made from co-pyrolyzing animal manures and plastic wastes,excluded_primary,excluded_primary,0,0,Biochar bio-activation study; no pollutant-adsorption candidate response matrix.
Dryad API,complete Dryad API query q=biochar on 2026-07-16,10.5061/dryad.kprr4xhh8,,Biochar amendments in a California salt marsh restoration reduced denitrification and supported distinct microbial community functions,excluded_primary,excluded_primary,0,0,Salt-marsh denitrification study; no adsorption candidate panel.
Dryad API,complete Dryad API query q=biochar on 2026-07-16,10.5061/dryad.kv63501,10.1098/rsos.181266,Data from: Simultaneous removal of fluoride and arsenic in geothermal water in Tibet using modified yak dung biochar as an adsorbent,excluded_primary,excluded_primary,0,0,Archived shared-condition responses contain only BC3 and FeBC3; the frozen protocol requires at least three candidates.
Dryad API,complete Dryad API query q=biochar on 2026-07-16,10.5061/dryad.kwh70rzd9,,Performance of seven species in clustered versus uniform plantings in a large-scale high marsh restoration project,excluded_primary,excluded_primary,0,0,Marsh-planting restoration study; no adsorption candidate panel.
Dryad API,complete Dryad API query q=biochar on 2026-07-16,10.5061/dryad.m5j1rs3,10.1098/rsos.181499,Data from: Biochar application on paddy and purple soils in southern China: soil carbon and biotic activity,excluded_primary,excluded_primary,0,0,Paddy-soil carbon and biotic-activity study; no adsorption candidate panel.
Dryad API,complete Dryad API query q=biochar on 2026-07-16,10.5061/dryad.m8q78,10.1371/journal.pone.0138781,"Data from: Effect of soil pH increase by biochar on NO, N2O and N2 production during denitrification in acid soils",excluded_primary,excluded_primary,0,0,Soil denitrification study; no adsorption candidate panel.
Dryad API,complete Dryad API query q=biochar on 2026-07-16,10.5061/dryad.n5tb2rbxf,10.3390/agronomy11050942,Data from: Corn grain and stover nutrient uptake responses from sandy soil treated with designer biochars and compost,excluded_primary,excluded_primary,0,0,Crop nutrient-uptake study; no adsorption candidate panel.
Dryad API,complete Dryad API query q=biochar on 2026-07-16,10.5061/dryad.pc866t1w7,10.1007/s42773-023-00263-5,Digital research data from: Magnesium activation affects the properties and phosphate sorption capacity of poultry litter biochar,included_locked_primary,included_locked_primary,1,0,Nine fixed Mg-activated biochars had direct replicate responses at five shared initial-pH strata.
Dryad API,complete Dryad API query q=biochar on 2026-07-16,10.5061/dryad.prr4xgxqx,10.1111/gcbb.13022,Dataset for: Exploring the legacy effect of biochar application on soil nitrous oxide emissions,excluded_primary,excluded_primary,0,0,Soil N2O-emission study; no adsorption candidate panel.
Dryad API,complete Dryad API query q=biochar on 2026-07-16,10.5061/dryad.pvmcvdnjw,10.1111/1365-2745.13571,Spatial heterogeneity in soil pyrogenic carbon mediates tree growth and physiology following wildfire,excluded_primary,excluded_primary,0,0,Wildfire soil and tree-physiology study; no adsorption candidate panel.
Dryad API,complete Dryad API query q=biochar on 2026-07-16,10.5061/dryad.r2280gbnm,10.1029/2024AV001480,Supplementing enhanced weathering with organic amendments accelerates the net climate benefit in rangeland soils,excluded_primary,excluded_primary,0,0,Enhanced-weathering soil study; no adsorption candidate panel.
Dryad API,complete Dryad API query q=biochar on 2026-07-16,10.5061/dryad.rbnzs7hf0,10.1111/gcbb.12995,Biochar and nitrogen fertilizer promote rice yield by altering soil enzyme activity and microbial community structure,excluded_primary,excluded_primary,0,0,Rice-yield and soil-microbial study; no adsorption candidate panel.
Dryad API,complete Dryad API query q=biochar on 2026-07-16,10.5061/dryad.rk37b,10.1016/j.soilbio.2017.09.016,Data from: Transient negative biochar effects on plant growth are strongest after microbial species loss,excluded_primary,excluded_primary,0,0,Plant-growth and microbial-loss study; no adsorption candidate panel.
Dryad API,complete Dryad API query q=biochar on 2026-07-16,10.5061/dryad.t76hdr85r,10.1111/gcbb.13087,Soil amendment with biochar and manure alters wood stake decomposition and fungal community composition,excluded_primary,excluded_primary,0,0,Soil decomposition and fungal-community study; no adsorption candidate panel.
Dryad API,complete Dryad API query q=biochar on 2026-07-16,10.5061/dryad.vmcvdncwz,10.1111/gcbb.13003,How much is soil nitrous oxide emission reduced with biochar application? An evaluation of meta‐analyses,excluded_primary,excluded_primary,0,0,Evaluation of meta-analyses rather than a primary candidate experiment.
Dryad API,complete Dryad API query q=biochar on 2026-07-16,10.5061/dryad.x95x69psf,,Effects of biochar soil amendments on soil properties and plant recruitment in coastal climate change adaptation projects,excluded_primary,excluded_primary,0,0,Soil amendment and plant-recruitment study; no adsorption candidate panel.
Dryad API,complete Dryad API query q=biochar on 2026-07-16,10.5061/dryad.xpnvx0kh2,10.3390/en14196157,Digital research data from: Biochar stability in a highly weathered sandy soil under four years of continuous corn production,excluded_primary,excluded_primary,0,0,Biochar stability and corn-production study; no adsorption candidate panel.
Dryad API,complete Dryad API query q=biochar on 2026-07-16,10.5061/dryad.xpnvx0kpf,https://www.mdpi.com/2073-4395/11/8/1611,Data from: Pilot-scale H2S and swine odor removal system using commercially available biochar,excluded_primary,excluded_primary,0,0,Gas-phase pilot study of one commercial biochar; fewer than three candidates and outside the aqueous-response scope.
Dryad API,complete Dryad API query q=biochar on 2026-07-16,10.5061/dryad.xsj3tx9nx,10.1111/rec.14141,Data from: Promoting success in thin layer sediment placement: effects of sediment grain size and amendments on salt marsh plant growth and greenhouse gas exchange,excluded_primary,excluded_primary,0,0,Salt-marsh restoration and greenhouse-gas study; no adsorption candidate panel.
Dryad API,complete Dryad API query q=biochar on 2026-07-16,10.5061/dryad.z34tmpgt4,10.1111/1365-2435.70195,Biochar mitigates microplastic-induced Destabilization of soil organic carbon via molecular Recalcitrance and microbial process regulation,excluded_primary,excluded_primary,0,0,Soil organic-carbon response to microplastics; no adsorption candidate panel.
Dryad API,complete Dryad API query q=biochar on 2026-07-16,10.5061/dryad.zpc866t8f,10.1111/gcbb.12864,"Biochar increases tree biomass in a managed boreal forest, but does not alter N2O, CH4, and CO2 emissions",excluded_primary,excluded_primary,0,0,Forest biomass and greenhouse-gas study; no adsorption candidate panel.
Dryad API,complete Dryad API query q=biochar on 2026-07-16,10.5061/dryad.zw3r228mk,10.1371/journal.pone.0335220,Data from: Effect of wheat straw biochar addition on canola growth in different soils,excluded_primary,excluded_primary,0,0,Canola-growth soil amendment study; no adsorption candidate panel.
Dryad API,complete Dryad API query q=biochar on 2026-07-16,10.6071/M3M092,10.1109/ICCMA54375.2021.9646210,Microwave and millimeter wave signals reflectance of soil carbon content,excluded_primary,excluded_primary,0,0,Soil-carbon reflectance study; no adsorption response.
Dryad API,complete Dryad API query q=biochar on 2026-07-16,10.6071/M3MX1B,10.1111/gcbb.13028,Data for: Biochar co-compost improves nitrogen retention and reduces carbon emissions in a winter wheat cropping system,excluded_primary,excluded_primary,0,0,Biochar co-compost field study; no adsorption candidate panel.
Mendeley Data targeted discovery,"targeted, non-exhaustive metadata and article screening",10.17632/g86tgcy22j.1,10.1039/D3EM00246B,,included_locked_primary,included_locked_primary,3,0,"Coco coir, pine bark, and wheat straw each provided ten fixed temperature-defined biochars at at least three exact shared initial-Pb concentrations; hay was excluded because all ten candidates shared only one exact concentration."
Mendeley Data targeted discovery,"targeted, non-exhaustive metadata and article screening",10.17632/2w4st83pch.2,10.1016/j.heliyon.2020.e05388,,included_locked_primary,included_locked_primary,3,0,"Five source-defined biochars had replicate-level Cd(II), Pb(II), and Zn(II) responses at complete shared concentration strata; archive-only SWP550AW rows were excluded because that label was not one of the five candidates defined in the article."
Mendeley Data targeted discovery,"targeted, non-exhaustive metadata and article screening",10.17632/w882jvwwfk.1,10.1016/j.mtcomm.2025.113636,,included_locked_primary,included_locked_primary,4,0,"BC, SUBC, CBC, and SUCBC were four fixed materials measured in triplicate at shared time, initial-pH, temperature, and initial-concentration strata; the workbook error type was unspecified and was not treated as SD."
Mendeley Data targeted discovery,"targeted, non-exhaustive metadata and article screening",10.17632/d7hj9pdy32.2,,,sensitivity_only_endpoint_reorientation_required,sensitivity_only,0,2,"Three biochars were measured for two pesticides at five shared times, but the table reports residual pesticide concentration with lower values preferred; converting it to removal would broaden the frozen direct-response endpoint."
Mendeley Data targeted discovery,"targeted, non-exhaustive metadata and article screening",10.17632/gtrhwyxdbf.1,,,excluded_primary_insufficient_material_provenance,excluded_primary,0,0,"The archive contains complete multi-material urea matrices but no associated article, preparation definitions, or independently auditable material identities; it was not counted as an external source."
