protocol_id,protocol_sha256,analysis_status,study_id,panel_id,pollutant,strategy,per_anchor_fraction,n_candidates,n_strata,anchors,n_retained,retained_candidates,candidate_reduction_fraction,baseline_assay_units,protocol_assay_units,assay_reduction_fraction,query_best_coverage,mean_regret,mean_normalized_regret
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,postfreeze_exploratory_sensitivity,Ogbuagu2023,Ogbuagu2023_Pb_coco_coir_concentration,Pb(II),ever_top_one_third,0.3333333333333333,10,5,Ci=90.35118965 | Ci=5451.330085,8,Cococoir-300C | Cococoir-450C | Cococoir-500C | Cococoir-550C | Cococoir-600C | Cococoir-650C | Cococoir-700C | Cococoir-750C,0.19999999999999996,50,44,0.12,1.0,0.0,0.0
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,frozen_primary,Ogbuagu2023,Ogbuagu2023_Pb_coco_coir_concentration,Pb(II),ever_top_half_frozen_primary,0.5,10,5,Ci=90.35118965 | Ci=5451.330085,8,Cococoir-300C | Cococoir-450C | Cococoir-500C | Cococoir-550C | Cococoir-600C | Cococoir-650C | Cococoir-700C | Cococoir-750C,0.19999999999999996,50,44,0.12,1.0,0.0,0.0
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,postfreeze_exploratory_sensitivity,Ogbuagu2023,Ogbuagu2023_Pb_coco_coir_concentration,Pb(II),ever_top_two_thirds,0.6666666666666666,10,5,Ci=90.35118965 | Ci=5451.330085,9,Cococoir-300C | Cococoir-400C | Cococoir-450C | Cococoir-500C | Cococoir-550C | Cococoir-600C | Cococoir-650C | Cococoir-700C | Cococoir-750C,0.09999999999999998,50,47,0.06000000000000005,1.0,0.0,0.0
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,postfreeze_exploratory_sensitivity,Ogbuagu2023,Ogbuagu2023_Pb_coco_coir_concentration,Pb(II),ever_top_three_quarters,0.75,10,5,Ci=90.35118965 | Ci=5451.330085,9,Cococoir-300C | Cococoir-400C | Cococoir-450C | Cococoir-500C | Cococoir-550C | Cococoir-600C | Cococoir-650C | Cococoir-700C | Cococoir-750C,0.09999999999999998,50,47,0.06000000000000005,1.0,0.0,0.0
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,postfreeze_exploratory_sensitivity,Ogbuagu2023,Ogbuagu2023_Pb_coco_coir_concentration,Pb(II),retain_all,1.0,10,5,Ci=90.35118965 | Ci=5451.330085,10,Cococoir-300C | Cococoir-350C | Cococoir-400C | Cococoir-450C | Cococoir-500C | Cococoir-550C | Cococoir-600C | Cococoir-650C | Cococoir-700C | Cococoir-750C,0.0,50,50,0.0,1.0,0.0,0.0
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,postfreeze_exploratory_sensitivity,Ogbuagu2023,Ogbuagu2023_Pb_pine_bark_concentration,Pb(II),ever_top_one_third,0.3333333333333333,10,4,Ci=95.94271 | Ci=1146.284284,4,Pinebark-600C | Pinebark-650C | Pinebark-700C | Pinebark-750C,0.6,40,28,0.30000000000000004,1.0,0.0,0.0
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,frozen_primary,Ogbuagu2023,Ogbuagu2023_Pb_pine_bark_concentration,Pb(II),ever_top_half_frozen_primary,0.5,10,4,Ci=95.94271 | Ci=1146.284284,5,Pinebark-550C | Pinebark-600C | Pinebark-650C | Pinebark-700C | Pinebark-750C,0.5,40,30,0.25,1.0,0.0,0.0
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,postfreeze_exploratory_sensitivity,Ogbuagu2023,Ogbuagu2023_Pb_pine_bark_concentration,Pb(II),ever_top_two_thirds,0.6666666666666666,10,4,Ci=95.94271 | Ci=1146.284284,7,Pinebark-450C | Pinebark-500C | Pinebark-550C | Pinebark-600C | Pinebark-650C | Pinebark-700C | Pinebark-750C,0.30000000000000004,40,34,0.15000000000000002,1.0,0.0,0.0
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,postfreeze_exploratory_sensitivity,Ogbuagu2023,Ogbuagu2023_Pb_pine_bark_concentration,Pb(II),ever_top_three_quarters,0.75,10,4,Ci=95.94271 | Ci=1146.284284,9,Pinebark-350C | Pinebark-400C | Pinebark-450C | Pinebark-500C | Pinebark-550C | Pinebark-600C | Pinebark-650C | Pinebark-700C | Pinebark-750C,0.09999999999999998,40,38,0.050000000000000044,1.0,0.0,0.0
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,postfreeze_exploratory_sensitivity,Ogbuagu2023,Ogbuagu2023_Pb_pine_bark_concentration,Pb(II),retain_all,1.0,10,4,Ci=95.94271 | Ci=1146.284284,10,Pinebark-300C | Pinebark-350C | Pinebark-400C | Pinebark-450C | Pinebark-500C | Pinebark-550C | Pinebark-600C | Pinebark-650C | Pinebark-700C | Pinebark-750C,0.0,40,40,0.0,1.0,0.0,0.0
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,postfreeze_exploratory_sensitivity,Ogbuagu2023,Ogbuagu2023_Pb_wheat_straw_concentration,Pb(II),ever_top_one_third,0.3333333333333333,10,5,Ci=96.02042833 | Ci=5740.99783,6,WheatStraw-300C | WheatStraw-450C | WheatStraw-600C | WheatStraw-650C | WheatStraw-700C | WheatStraw-750C,0.4,50,38,0.24,0.3333333333333333,0.0983015233333339,0.047420320887191135
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,frozen_primary,Ogbuagu2023,Ogbuagu2023_Pb_wheat_straw_concentration,Pb(II),ever_top_half_frozen_primary,0.5,10,5,Ci=96.02042833 | Ci=5740.99783,7,WheatStraw-300C | WheatStraw-450C | WheatStraw-500C | WheatStraw-600C | WheatStraw-650C | WheatStraw-700C | WheatStraw-750C,0.30000000000000004,50,41,0.18000000000000005,0.3333333333333333,0.0983015233333339,0.047420320887191135
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,postfreeze_exploratory_sensitivity,Ogbuagu2023,Ogbuagu2023_Pb_wheat_straw_concentration,Pb(II),ever_top_two_thirds,0.6666666666666666,10,5,Ci=96.02042833 | Ci=5740.99783,9,WheatStraw-300C | WheatStraw-350C | WheatStraw-450C | WheatStraw-500C | WheatStraw-550C | WheatStraw-600C | WheatStraw-650C | WheatStraw-700C | WheatStraw-750C,0.09999999999999998,50,47,0.06000000000000005,1.0,0.0,0.0
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,postfreeze_exploratory_sensitivity,Ogbuagu2023,Ogbuagu2023_Pb_wheat_straw_concentration,Pb(II),ever_top_three_quarters,0.75,10,5,Ci=96.02042833 | Ci=5740.99783,10,WheatStraw-300C | WheatStraw-350C | WheatStraw-400C | WheatStraw-450C | WheatStraw-500C | WheatStraw-550C | WheatStraw-600C | WheatStraw-650C | WheatStraw-700C | WheatStraw-750C,0.0,50,50,0.0,1.0,0.0,0.0
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,postfreeze_exploratory_sensitivity,Ogbuagu2023,Ogbuagu2023_Pb_wheat_straw_concentration,Pb(II),retain_all,1.0,10,5,Ci=96.02042833 | Ci=5740.99783,10,WheatStraw-300C | WheatStraw-350C | WheatStraw-400C | WheatStraw-450C | WheatStraw-500C | WheatStraw-550C | WheatStraw-600C | WheatStraw-650C | WheatStraw-700C | WheatStraw-750C,0.0,50,50,0.0,1.0,0.0,0.0
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,postfreeze_exploratory_sensitivity,Padilla2023,Padilla2023_phosphate_initial_pH,Phosphate,ever_top_one_third,0.3333333333333333,9,5,pH=4 | pH=8,5,PL1-500C | PL1-700C | PL3-500C | PL3-700C | PL3-900C,0.4444444444444444,45,33,0.2666666666666667,1.0,0.0,0.0
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,frozen_primary,Padilla2023,Padilla2023_phosphate_initial_pH,Phosphate,ever_top_half_frozen_primary,0.5,9,5,pH=4 | pH=8,5,PL1-500C | PL1-700C | PL3-500C | PL3-700C | PL3-900C,0.4444444444444444,45,33,0.2666666666666667,1.0,0.0,0.0
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,postfreeze_exploratory_sensitivity,Padilla2023,Padilla2023_phosphate_initial_pH,Phosphate,ever_top_two_thirds,0.6666666666666666,9,5,pH=4 | pH=8,6,PL1-500C | PL1-700C | PL3-500C | PL3-700C | PL3-900C | PL7-700C,0.33333333333333337,45,36,0.19999999999999996,1.0,0.0,0.0
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,postfreeze_exploratory_sensitivity,Padilla2023,Padilla2023_phosphate_initial_pH,Phosphate,ever_top_three_quarters,0.75,9,5,pH=4 | pH=8,7,PL1-500C | PL1-700C | PL3-500C | PL3-700C | PL3-900C | PL7-700C | PL7-900C,0.2222222222222222,45,39,0.1333333333333333,1.0,0.0,0.0
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,postfreeze_exploratory_sensitivity,Padilla2023,Padilla2023_phosphate_initial_pH,Phosphate,retain_all,1.0,9,5,pH=4 | pH=8,9,PL1-500C | PL1-700C | PL1-900C | PL3-500C | PL3-700C | PL3-900C | PL7-500C | PL7-700C | PL7-900C,0.0,45,45,0.0,1.0,0.0,0.0
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,postfreeze_exploratory_sensitivity,Soria2020,Soria2020_Cd_isotherm,Cd(II),ever_top_one_third,0.3333333333333333,5,8,C1 | C8,2,OSR550 | OSR700,0.6,40,22,0.44999999999999996,1.0,0.0,0.0
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,frozen_primary,Soria2020,Soria2020_Cd_isotherm,Cd(II),ever_top_half_frozen_primary,0.5,5,8,C1 | C8,3,OSR550 | OSR700 | WSP550,0.4,40,28,0.30000000000000004,1.0,0.0,0.0
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,postfreeze_exploratory_sensitivity,Soria2020,Soria2020_Cd_isotherm,Cd(II),ever_top_two_thirds,0.6666666666666666,5,8,C1 | C8,4,MSP550 | OSR550 | OSR700 | WSP550,0.19999999999999996,40,34,0.15000000000000002,1.0,0.0,0.0
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,postfreeze_exploratory_sensitivity,Soria2020,Soria2020_Cd_isotherm,Cd(II),ever_top_three_quarters,0.75,5,8,C1 | C8,4,MSP550 | OSR550 | OSR700 | WSP550,0.19999999999999996,40,34,0.15000000000000002,1.0,0.0,0.0
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,postfreeze_exploratory_sensitivity,Soria2020,Soria2020_Cd_isotherm,Cd(II),retain_all,1.0,5,8,C1 | C8,5,MSP550 | OSR550 | OSR700 | SWP550 | WSP550,0.0,40,40,0.0,1.0,0.0,0.0
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,postfreeze_exploratory_sensitivity,Soria2020,Soria2020_Pb_isotherm,Pb(II),ever_top_one_third,0.3333333333333333,5,9,C1 | C9,3,OSR550 | OSR700 | WSP550,0.4,45,31,0.3111111111111111,1.0,0.0,0.0
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,frozen_primary,Soria2020,Soria2020_Pb_isotherm,Pb(II),ever_top_half_frozen_primary,0.5,5,9,C1 | C9,3,OSR550 | OSR700 | WSP550,0.4,45,31,0.3111111111111111,1.0,0.0,0.0
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,postfreeze_exploratory_sensitivity,Soria2020,Soria2020_Pb_isotherm,Pb(II),ever_top_two_thirds,0.6666666666666666,5,9,C1 | C9,4,MSP550 | OSR550 | OSR700 | WSP550,0.19999999999999996,45,38,0.15555555555555556,1.0,0.0,0.0
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,postfreeze_exploratory_sensitivity,Soria2020,Soria2020_Pb_isotherm,Pb(II),ever_top_three_quarters,0.75,5,9,C1 | C9,4,MSP550 | OSR550 | OSR700 | WSP550,0.19999999999999996,45,38,0.15555555555555556,1.0,0.0,0.0
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,postfreeze_exploratory_sensitivity,Soria2020,Soria2020_Pb_isotherm,Pb(II),retain_all,1.0,5,9,C1 | C9,5,MSP550 | OSR550 | OSR700 | SWP550 | WSP550,0.0,45,45,0.0,1.0,0.0,0.0
